Date,Open,High,Low,Close,Adj Close,Volume
2021-07-01,848.900024,853.309998,840.780029,847.119995,847.119995,1315400000
2021-07-02,851.140015,855.780029,848.010010,851.520020,851.520020,1203700000
2021-07-05,851.719971,852.719971,839.789978,842.900024,842.900024,1164200000
2021-07-06,846.429993,850.159973,844.250000,846.960022,846.960022,1835400000
2021-07-07,850.940002,851.369995,838.289978,841.859985,841.859985,1334700000
2021-07-08,845.210022,847.190002,836.219971,839.919983,839.919983,1490800000
2021-07-09,839.900024,842.580017,837.369995,840.340027,840.340027,1295000000
2021-07-12,845.510010,848.559998,842.239990,844.400024,844.400024,1339700000
2021-07-13,849.210022,850.239990,833.830017,835.729980,835.729980,1474300000
2021-07-14,834.780029,836.200012,824.200012,827.799988,827.799988,1388900000
2021-07-15,830.969971,841.440002,829.539978,841.200012,841.200012,1296900000
2021-07-16,845.500000,847.530029,842.200012,847.150024,847.150024,1297300000
2021-07-19,845.070007,846.119995,837.700012,837.929993,837.929993,1125300000
2021-07-21,842.659973,847.140015,839.530029,841.419983,841.419983,1789200000
2021-07-22,848.169983,857.070007,847.679993,857.039978,857.039978,1821600000
2021-07-23,859.349976,860.440002,844.090027,845.710022,845.710022,1454600000
2021-07-26,847.159973,850.030029,841.469971,841.820007,841.820007,1556800000
2021-07-27,845.989990,847.890015,831.380005,837.820007,837.820007,1484700000
2021-07-28,836.859985,838.760010,827.799988,830.700012,830.700012,1441400000
2021-07-29,835.010010,836.450012,831.049988,832.750000,832.750000,1631600000
2021-07-30,836.950012,839.520020,823.039978,823.039978,823.039978,2069500000
2021-08-02,830.239990,831.070007,821.450012,830.150024,830.150024,1558000000
2021-08-03,832.739990,841.900024,831.479980,838.539978,838.539978,1581000000
2021-08-04,841.630005,845.169983,835.200012,843.460022,843.460022,1360100000
2021-08-05,847.429993,856.840027,845.450012,853.010010,853.010010,1907700000
2021-08-06,857.500000,858.700012,842.830017,844.140015,844.140015,1315300000
2021-08-09,844.159973,845.119995,827.140015,831.750000,831.750000,1338400000
2021-08-10,834.960022,836.789978,824.330017,832.330017,832.330017,1351800000
2021-08-12,834.489990,845.840027,832.469971,845.840027,845.840027,1791800000
2021-08-13,849.950012,853.900024,845.890015,851.390015,851.390015,1219300000
2021-08-16,853.010010,853.669983,842.090027,852.849976,852.849976,1375600000
2021-08-18,858.580017,872.090027,855.520020,869.919983,869.919983,2424500000
2021-08-19,867.520020,868.159973,845.450012,850.739990,850.739990,1927500000
2021-08-20,849.919983,855.539978,842.080017,855.039978,855.039978,1523300000
2021-08-23,857.520020,863.830017,857.340027,863.830017,863.830017,1802300000
2021-08-24,865.030029,865.979980,847.159973,855.969971,855.969971,1675100000
2021-08-25,856.909973,859.419983,854.380005,858.169983,858.169983,1310100000
2021-08-26,856.549988,858.750000,844.659973,850.210022,850.210022,1031200000
2021-08-27,849.460022,849.979980,843.690002,845.710022,845.710022,1127700000
2021-08-30,851.309998,866.950012,850.979980,866.950012,866.950012,1617300000
2021-08-31,867.570007,868.739990,860.229980,866.489990,866.489990,1677000000
2021-09-01,868.219971,869.330017,860.049988,860.510010,860.510010,1261300000
2021-09-02,861.159973,864.299988,857.280029,862.859985,862.859985,1145200000
2021-09-03,864.710022,873.919983,859.340027,873.919983,873.919983,1686400000
2021-09-06,877.270020,879.320007,870.330017,874.549988,874.549988,2104800000
2021-09-07,877.390015,878.200012,870.250000,871.380005,871.380005,1551300000
2021-09-08,872.359985,873.510010,851.770020,856.599976,856.599976,1716600000
2021-09-09,856.630005,871.849976,853.700012,871.849976,871.849976,1804300000
2021-09-10,869.250000,872.840027,863.450012,870.200012,870.200012,1593200000
2021-09-13,865.400024,868.320007,859.650024,865.539978,865.539978,1096200000
